Id,Asana Name,Description,Benefit
54,Ardha Padmasana (Half Lotus Pose),Similar benefits to padmasana but at a reduced level.,"Flexibility, Meditation, Comfort"
55,Padmasana (Lotus Pose),"Holds body steady for long periods, directs flow of prana, relaxes nervous system, reduces muscular tension and blood pressure.","Stability, Relaxation, Meditation, Circulation"
56,Siddhasana (Accomplished Pose for Men),"Stimulates brain, calms nervous system, redirects sexual impulses, balances reproductive system and blood pressure.","Meditation, Reproductive Health, Balance"
57,Siddha Yoni Asana (Accomplished Pose for Women),"Stimulates brain, calms nervous system, redirects sexual impulses, balances reproductive system and blood pressure.","Meditation, Reproductive Health, Balance"
58,Swastikasana (Auspicious Pose),"Healthy position for sitting, beneficial for varicose veins, tired muscles, fluid retention in legs.","Comfort, Blood Circulation, Muscle Health"
59,Dhyana Veerasana (Hero's Meditation Pose),"Easy and comfortable for long periods, useful alternative to other meditation poses, massages and tones pelvic and reproductive organs.","Meditation, Reproductive Health, Comfort"
60,Vajrasana,"Alters flow of blood and nervous impulses in pelvic region, strengthens pelvic muscles, prevents hernia, relieves menstrual disorders.","Strength, Circulation, Reproductive Health, Digestion Support"
61,Ananda Madirasana,"Used primarily to awaken ajna chakra, calms the mind, relaxes the nervous system, gives benefits of vajrasana.","Chakra Activation, Relaxation, Nervous System Support"
62,Padadhirasana,"Pressure under armpits opens nostrils for pranayama, induces autonomic balance.","Pranayama Facilitation, Autonomic Balance"
63,Bhadrasana,"Stimulating influence on mooladhara chakra, excellent for meditation, similar benefits to vajrasana.","Chakra Stimulation, Meditation, Relaxation"
64,Simhasana,"Definite extension of spinal cord, total physical stability.","Stability, Spinal Extension"
65,Simhagarjanasana,"Excellent for throat, nose, ears, eyes, mouth, relieves tension, frustration, develops voice, similar to shambhavi mudra.","Tension Relief, Voice Development, Emotional Release"
66,Veerasana,"Balances mind, increases concentration, induces relaxation, beneficial for organs.","Mental Balance, Concentration, Organ Health"
67,Marjari-Asana,"Improves flexibility of neck, shoulders, spine, tones female reproductive system.","Flexibility, Reproductive Health"
68,Vyaghrasana,"Exercises and loosens back, tones spinal nerves, relieves sciatica, stretches abdominal muscles, promotes digestion.","Relief, Flexibility, Digestion"
69,Shashankasana,"Stretches and strengthens back muscles, separates vertebrae, regulates adrenal glands, tones pelvic muscles.","Back Health, Adrenal Regulation, Pelvic Toning"
70,Shashank Bhujangasana,"Similar benefits to bhujangasana and shashankasana, strengthens back, pelvic region, improves visceral function.","Back Strength, Pelvic Health, Visceral Toning"
71,Naman Pranamasana,"Prepares for sirshasana, offers similar benefits to headstand.","Preparatory, Headstand Support"
72,Ashwa Sanchalanasana,"Tones abdominal organs, stretches lower back, strengthens hips, legs, ankles, induces nervous system balance.","Abdominal Toning, Lower Back Stretch, Nervous System Balance"
73,Ardha Ushtrasana,Benefits similar to ushtrasana but at a reduced level.,"Relief, Reduced Intensity"
74,Ushtrasana,"Benefits digestive, reproductive systems, relieves constipation, backache, stretches neck, tones thyroid gland, aids asthma.","Digestive Support, Relief, Thyroid Health"
75,Supta Vajrasana,"Massages abdominal organs, alleviates digestive ailments, toning spinal nerves, redirects sexual energy, promotes lung health.","Digestive Support, Spinal Health, Lung Health"
76,Bandha Hasta Utthanasana,"Rectifies round shoulders, removes stiffness, improves breathing capacity, influences heart, improves oxygen supply.","Posture Correction, Respiratory Support, Heart Health"
77,Akarna Dhanurasana,"Exercises shoulders, neck, shoulder blades, relieves tension, stiffness, helpful for posture, writer's cramp, spondylitis.","Shoulder Health, Posture Improvement, Relief"
78,Tadasana,"Develops physical and mental balance, stretches spine, aids congestion, increases height, tones abdominal muscles.","Balance, Spinal Health, Height Increase, Abdominal Toning"
79,Tiryaka Tadasana,"Similar benefits to tadasana, massages waist, balances postural muscles.","Waist Massage, Postural Balance"
80,Kati Chakrasana,"Tones neck, shoulders, waist, back, hips, corrects stiffness, posture, induces lightness, relieves tension.","Muscle Toning, Posture Correction, Tension Relief"
81,Tiryaka Kati Chakrasana,"Similar to kati chakrasana, strengthens back muscles, improves balance, coordination.","Muscle Strengthening, Balance, Coordination"
82,Meru Prishtasana,"Stretches spine, tones back muscles, redistributes weight from waistline.","Spinal Stretch, Back Muscle Toning, Weight Distribution"
83,Utthanasana,"Strengthens middle back, pelvis, uterus, thighs, knees, ankles.","Muscle Strengthening, Joint Support"
84,Druta Utkatasana,"Strengthens back, legs muscles.",Muscle Strengthening
85,Samakonasana,"Works on shoulders, back behind chest, corrects tension, posture.","Muscle Engagement, Posture Correction"
86,Dwikonasana,"Strengthens muscles between upper spine, shoulder blades, chest, neck.","Muscle Strengthening, Chest Development"
87,Trikonasana,"Affects muscles on trunk sides, waist, back legs, stimulates nervous system, improves digestion, strengthens pelvic area.","Muscle Engagement, Digestive Support, Pelvic Strength"
88,Utthita Lolasana,"Removes tiredness, stimulates circulation, tones nerves, stretches muscles, loosens hips, massages organs.","Energy Boost, Circulation, Muscle Stretching"
89,Dolasana,"Strengthens hamstrings, back muscles, improves circulation to head, face.","Muscle Strengthening, Circulation Improvement"
90,Pranamasana,"Establishes concentration, calmness.","Concentration, Relaxation"
91,Hasta Utthanasana,-,"Strengthens limbs and back, aids height increase, stimulates circulation"
92,Padahastasana,-,"Stretches muscles and ligaments, aids height increase, improves circulation"
93,Ashwa Sanchalanasana,-,"Strengthens muscles, induces nervous system balance"
94,Parvatasana,"Strengthens nerves and muscles in limbs and back, aids height increase, stimulates circulation in upper spine.","Height Increase, Muscle Strengthening, Circulation Stimulation"
95,Ashtanga Namaskara,"Strengthens leg and arm muscles, develops chest, exercises spine between shoulder blades.","Muscle Strengthening, Chest Development, Spinal Health"
96,Bhujangasana,-,"Strengthens back muscles, massages abdominal organs"
97,Yogamudrasana,"Massages abdominal organs, relieves constipation and indigestion, stretches back, awakens manipura chakra.","Abdominal Massage, Digestive Support, Back Stretching, Chakra Activation"
98,Matsyasana,"Stretches intestines and abdominal organs, relieves various ailments, improves respiration, stimulates glands, promotes youthfulness.","Abdominal Stretch, Respiratory Support, Gland Stimulation, Vitality"
99,Gupta Padmasana,"Corrects postural defects, induces peace, stability, emotional balance.","Posture Correction, Relaxation, Emotional Balance"
100,Baddha Padmasana,"Alleviates pain, encourages normal growth, used in kundalini awakening.","Pain Relief, Growth Support, Kundalini Activation"
101,Garbhasana,"Regulates adrenal glands, calms mind, improves emotional stability, massages abdominal organs, stimulates digestion.","Adrenal Regulation, Emotional Stability, Digestive Support"
102,Tolangulasana,"Tones abdominal organs and muscles, removes excess weight, strengthens back and thighs, induces relaxation.","Abdominal Toning, Weight Loss, Muscle Strengthening, Relaxation"
103,Saral Bhujangasana,"Strengthens arms and shoulders, beneficial for stiff backs.","Arm and Shoulder Strengthening, Back Relief"
104,Tiryaka Bhujangasana,Similar to bhujangasana with increased arm and intestinal influence.,Enhanced Arm and Intestinal Engagement
105,Sarpasana,"Similar benefits to bhujangasana, corrects posture, strengthens back muscles.","Posture Correction, Back Muscle Strengthening"
106,Ardha Shalabhasana,"Excellent for back and pelvic organs, releases pelvic tension.","Back and Pelvic Relief, Pelvic Tension Release"
107,Shalabhasana,"Strengthens lower back and pelvic organs, relieves backache, improves abdominal function, tones muscles.","Lower Back Strengthening, Abdominal Toning, Muscle Toning"
108,Saral Dhanurasana,"Similar benefits to dhanurasana, useful for lower back pain, respiratory disorders.","Relief, Respiratory Support"
109,Dhanurasana,"Reconditions alimentary canal, massages organs, tones glands, improves circulation, corrects posture, strengthens muscles.","Digestive Support, Gland Stimulation, Circulation Improvement"
110,Kandharasana,"Realigns spine, massages colon and abdominal organs, improves digestion, tones reproductive organs.","Spinal Realignment, Digestive Support, Reproductive Health"
111,Utthan Pristhasana,"Strengthens chest, diaphragm, tones back, offers benefits of inverted asanas.","Chest Strengthening, Back Toning, Inversion Benefits"
112,Setu Asana,"Similar benefits to chakrasana, strengthens shoulders, thighs, wrists, tones lumbar region, Achilles tendons.","Shoulder Strengthening, Spinal Toning, Muscle Strengthening"
113,Gomukhasana,"Induces relaxation, relieves tiredness, tension, anxiety, improves posture, relieves backache, sciatica, stiffness.","Relaxation, Posture Improvement, Pain Relief"
114,Saithalyasana,"Stretches back, pelvic region, inner thighs, opens hip joints, balances nervous system, massages abdominal organs.","Back and Pelvic Stretching, Hip Opening, Nervous System Balance"
115,Paschimottanasana,"Stretches hamstrings, increases hip flexibility, tones and massages abdominal and pelvic organs, stimulates circulation.","Hamstring Stretching, Abdominal Massage, Circulation Stimulation"
116,Gatyatmak Paschimottanasana,"Similar benefits to paschimottanasana but at a reduced level, speeds up circulation and metabolic processes, increases flexibility.","Reduced Intensity, Circulation Boost, Flexibility Enhancement"
117,Pada Prasar Paschimottanasana,Essentially the same benefits as paschimottanasana with extended stretch to legs and muscles between shoulder blades.,"Extended Stretch, Muscle Engagement, Chest Opening"
118,Janu Sirshasana,"Similar benefits to paschimottanasana, loosens legs for meditation.","Leg Stretching, Meditation Preparation"
119,Ardha Padma Paschimottanasana,"Similar benefits to janu sirshasana and paschimottanasana, with the foot of the bent leg massaging abdominal organs.","Abdominal Massage, Intestinal Stimulation, Pre-Meditation Preparation"
120,Hasta Pada Angushthasana,"Makes hip joints flexible, aids pelvis development in young girls, reduces excess weight, improves balance and coordination.","Hip Flexibility, Pelvic Development, Weight Reduction, Coordination"
121,Meru Akarshanasana,"Relaxes and stretches muscles, reduces weight on hips and thighs, improves balance and coordination.","Muscle Relaxation, Weight Reduction, Balance, Coordination"
122,Sirsha Angustha Yogasana,"Stretches muscles, provides lateral stretch, stimulates nervous system and appetite, reduces excess weight around waist.","Muscle Stretching, Nervous System Stimulation, Weight Reduction"
123,Utthita Janu Sirshasana,"Stimulates pancreas, relaxes hip joints, stretches hamstrings, massages spinal nerves, revitalizes brain.","Pancreas Stimulation, Hip Relaxation, Hamstring Stretching, Brain Revitalization"
124,Eka Padottanasana,"Enhances flexibility in hamstring muscles and hip joints, tones adrenals and reproductive system.","Hamstring Flexibility, Adrenal and Reproductive Support"
125,Meru Wakrasana,"Stretches spine, alleviates backache, neck pain, lumbago, sciatica, prepares back for spinal twists.","Spinal Stretching, Pain Relief, Preparatory for Spinal Twists"
126,Bhu Namanasana,"Stretches spine and lower back, makes muscles supple, stimulates nerves.","Spinal Stretching, Muscle Suppleness, Nerve Stimulation"
127,Ardha Matsyendrasana,"Stretches muscles on one side while contracting on the other, tones nerves and back muscles, massages abdominal organs.","Spinal and Abdominal Stretch, Muscle Toning, Abdominal Massage"
128,Parivritti Janu Sirshasana,"Provides lateral stretch, stretches hamstrings and shoulders, compresses and stretches abdominal muscles, prepares for meditation.","Lateral Stretch, Muscle Stretching, Abdominal Compression, Meditation Preparation"
129,Bhumi Pada Mastakasana,-,-
130,Vipareeta Karani Asana,-,-
131,Sarvangasana,"Helps in cases of low blood pressure, balances nervous system, strengthens neck muscles, increases blood supply to brain.","Blood Pressure Support, Nervous System Balance, Neck Muscle Strengthening"
132,Moordhasana,"Helps in cases of low blood pressure, balances nervous system, strengthens neck muscles, increases blood supply to brain.","Blood Pressure Support, Nervous System Balance, Neck Muscle Strengthening"
133,Padma Sarvangasana,"Similar benefits to sarvangasana, additional stretch and massage to pelvic region, strengthens leg muscles, improves balance.","Pelvic Stretch and Massage, Leg Muscle Strengthening, Balance Improvement"
134,Poorwa Halasana,"Stretches pelvis, regulates kidneys, activates intestines, removes excess weight, preparatory for halasana.","Pelvic Stretching, Kidney Regulation, Digestive Activation, Weight Reduction"
135,Halasana,"Massages internal organs, activates digestion, strengthens abdominal muscles, relieves back spasms.","Internal Organ Massage, Digestive Activation, Muscle Strengthening"
136,Druta Halasana,"Benefits of halasana and paschimottanasana combined, strengthens back and abdominal muscles, aids digestion.","Back and Abdominal Strengthening, Digestive Support"
137,Ardha Padma Halasana,"Strengthens back and abdominal muscles, aids digestion, facilitates fat breakdown, stretches pelvic region.","Back and Abdominal Strengthening, Digestive Support, Pelvic Stretching"
138,Stambhan Asana,"Strengthens back and abdominal muscles, aids digestion, facilitates fat breakdown, stretches pelvic region.","Back and Abdominal Strengthening, Digestive Support, Pelvic Stretching"
139,Sirshasana,"Powerful for awakening sahasrara chakra, revitalizes body and mind, relieves anxiety and disorders, reverses effect of gravity.","Chakra Activation, Anxiety Relief, Gravity Reversal, Mind-Body Revitalization"
140,Salamba Sirshasana,"Powerful for awakening sahasrara chakra, revitalizes body and mind, relieves anxiety and disorders, reverses effect of gravity.","Chakra Activation, Anxiety Relief, Gravity Reversal, Mind-Body Revitalization"
141,Niralamba Sirshasana,"Powerful for awakening sahasrara chakra, revitalizes body and mind, relieves anxiety and disorders, reverses effect of gravity.","Chakra Activation, Anxiety Relief, Gravity Reversal, Mind-Body Revitalization"
142,Oordhwa Padmasana,"Similar benefits to sirshasana, with impeded blood drainage from legs, stretches and massages pelvic region.","Chakra Activation, Pelvic Stretch and Massage"
143,Kapali Asana,"Powerful for awakening sahasrara chakra, revitalizes body and mind, relieves anxiety and disorders, reverses effect of gravity.","Chakra Activation, Anxiety Relief, Gravity Reversal, Mind-Body Revitalization"
144,Eka Pada Pranamasana,"Develops nervous balance, strengthens leg, ankle, and foot muscles.","Nervous Balance, Muscle Strengthening"
145,Natavarasana,Develops nervous balance and concentration.,"Nervous Balance, Concentration"
146,Garudasana,"Improves concentration, strengthens muscles, loosens joints, good for upper back.","Concentration, Muscle Strengthening, Joint Flexibility"
147,Tandavasana,"Balances nervous system, develops body control and mental concentration, makes legs supple.","Nervous Balance, Body Control, Concentration, Supple Legs"
148,Saral Natarajasana,"Strengthens back, shoulders, arms, hips, and legs, improves balance and coordination, enhances concentration.","Muscle Strengthening, Balance, Concentration"
149,Natarajasana,"Strengthens back, shoulders, arms, hips, and legs, improves balance and coordination, enhances concentration.","Muscle Strengthening, Balance, Concentration"
150,Eka Padasana,"Strengthens arms, wrists, back, hips, and leg muscles, develops muscular coordination, nervous balance, concentration.","Muscle Strengthening, Coordination, Nervous Balance, Concentration"
151,Bakasana,"Strengthens back, hip, and leg muscles, improves circulation, compresses abdominal organs, aids concentration",
152,Hamsasana (Swan Pose),Massages and stimulates abdominal organs,Digestion
153,Santolanasana (Balancing Pose),Improves balance and strength,Stability
154,Vashishthasana (Sage Vashishtha's Pose),Improves balance and flexibility,Flexibility
155,Pooma Bhujangasana (Full Cobra Pose),Keeps spine healthy and supple,Spine health
156,Koormasana (Tortoise Pose),"Tones abdomen, increases circulation",Relaxation
157,Poorna Shalabhasana (Full Locust Pose),Strengthens back and pelvic organs,Back strength
158,Pooma Dhanurasana (Full Bow Pose),Strengthens arms and abdomen,Arm strength
159,Dhanurakarshanasana (Archer's Pose),"Loosens hips, strengthens arms",Hip flexibility
160,Prishthasana (Back Pose),"Stretches abdomen, increases circulation",Stretching
161,Parighasana (Beam or Cross-Bar Pose),"Gives lateral stretch to pelvis, massages abdomen",Stretching
162,Chakrasana (Wheel Pose),"Strengthens legs, influences hormonal secretions",Hormonal balance
163,Hanumanasana (Hanuman's Pose),"Improves flexibility, massages abdomen",Flexibility
164,Brahmacharyasana (Celibate's Pose),"Strengthens abdomen, thighs, arms",Energy conservation
165,Grivasana (Neck Pose),"Strengthens neck, back, thighs",Neck strength
166,Sirshapada Bhumi Sparshasana (Head and Foot Touching the Ground Pose),Strengthens back muscles,Back strength
167,Pooma Matsyendrasana (Full Spinal Twist Pose),Stretches back and abdomen,Back flexibility
168,Mayurasana (Peacock Pose),Stimulates metabolic processes,Metabolism
169,Padma Mayurasana (Lotus or Bound Peacock Pose),Develops balance,Balance
170,Moolabandhasana (Perineal Contraction Pose),Awakens mooladhara chakra,Energy flow
171,Gorakshasana (Yogi Gorakhnath's Pose),"Reverses apana flow, makes legs supple",Energy flow
172,Astavakrasana (Eight-Twists Pose),"Develops nervous control, reverses apana flow",Balance
173,Vrischikasana (Scorpion Pose),"Reorganizes prana, improves blood flow",Vitality
174,Eka Pada Sirasana (One Foot to Head Pose),"Massages internal organs, improves circulation",Circulation
175,Utthan Eka Pada Sirasana (Standing Foot to Head Pose),"Strengthens thighs, improves concentration",Concentration
176,Dwi Pada Kandharasana (Two-Legged Shoulder Pose),"Controls nervous system, massages organs",Vitality
177,Padma Parvatasana (Lotus Mountain Pose),Develops balance,Balance
178,Kashyapasana (Sage Kashyapa's Pose),"Strengthens shoulders, arms, legs",Strength
179,Vishwamitrasana (Sage Vishwamitra's Pose),"Stretches muscles, improves concentration",Concentration
180,NADI SHODHANA PRANAYAMA,Balances breath flow,Breath balance
181,SHEETALI PRANAYAMA,Cools body and mind,Cooling effect
182,SHEETKARI PRANAYAMA,"Similar to Sheetali, cools body and mind",Cooling effect
183,BHRAMARI PRANAYAMA,"Relieves stress, induces meditative state",Stress relief
184,UJJAYI PRANAYAMA,"Soothes nervous system, calms mind",Tranquility
185,BHASTRIKA PRANAYAMA,"Burns toxins, balances doshas",Cleansing
186,KAPALBHATI PRANAYAMA,"Cleanses lungs, tones digestive system",Cleansing
187,MOORCHHA PRANAYAMA,"Prepares for meditation, brings mental tranquility",Tranquility
188,Surya Bheda Pranayama (vitality stimulating breath),"Creates heat in the body, counteracts imbalances of doshas",Vitality
189,Jnana Mudra (psychic gesture of knowledge),Finger lock for meditation,Knowledge
190,Chin Mudra (psychic gesture of consciousness),Finger lock for meditation,Consciousness
191,Yoni Mudra,"Interlocking fingers, balancing energies",Balance
192,Bhairava Mudra (fierce or terrifying attitude),Used in pranayama and meditation,Fierceness
193,Hridaya Mudra (heart gesture),"Redirects prana to the heart, emotional release",Heart
194,Shambhavi Mudra (eyebrow centre gazing),"Strengthens eye muscles, calms mind",Focus
195,Nasikagra Drishti (nosetip gazing),"Calms mind, develops concentration",Concentration
196,Khechari Mudra (tongue lock),"Stimulates pressure points, reduces hunger/thirst",Calmness
197,Kaki Mudra (the crow's beak),"Cools body, aids digestion",Cooling
198,Bhujangini Mudra (cobra respiration),"Tones stomach, alleviates abdominal disorders",Toning
199,Bhoochari Mudra (gazing into nothingness),"Develops concentration, induces tranquillity",Tranquillity
200,Akashi Mudra (awareness of inner space),Combines benefits of various mudras,Awareness
201,Shanmukhi Mudra (closing the seven gates),"Stimulates facial nerves, induces sense withdrawal",Withdrawal
202,Unmani Mudra (the attitude of mindlessness),"Calms stress, induces meditative state",Mindlessness
203,Vipareeta Karani Mudra (inverted psychic attitude),"Balances thyroid, expands awareness",Balance
204,Pashinee Mudra (folded psychic attitude),"Tranquillity, stretches spine",Tranquillity
205,TADAGI MUDRA,"Relieves tension, tones abdominal organs",Tension relief
206,Prana Mudra (invocation of energy),"Awakens prana, increases strength",Vitality
207,Yoga Mudra (attitude of psychic union),"Massages organs, relieves tension",Union
208,Manduki Mudra (gesture of the frog),"Activates chakra, calms mind",Activation
209,MAHA MUDRA,"Stimulates energy circuit, induces meditation",Stimulation
210,MAHA BHEDA MUDRA,"Influences chakras, aids concentration",Concentration
211,Maha Vedha Mudra (the great piercing attitude),"Awakens kundalini, introspection",Awakening
212,ASHWINI MUDRA,"Strengthens anal muscles, redirects energy",Strength
213,VAJROLI/SAHAJOLI MUDRA,"Tones uro-genital system, conserves energy",Toning
214,JALANDHARA BANDHA,"Relieves stress, balances thyroid",Relief
215,MOOLA BANDHA,"Tones pelvic nerves, relieves depression",Toning
216,UDDIYANA BANDHA,"Stimulates pancreas/liver, improves circulation",Stimulation
217,MAHA BANDHA,"Affects hormonal secretions, rejuvenates body",Rejuvenation
218,JALA NETI,"Clears nasal passages, maintains respiratory health",Clearing
219,SUTRA NETI,"Rectifies nasal problems, clears obstructions",Rectification
220,Padangusthasana,"This pose helps increase the blood flow to the brain, reducing head ache. With more oxygen and blood in the brain, you are certain to experience immediate relief from your headache"," migraine,stress, tension, lack of sleep, dehydration, head ache"
